x-axis,y-axis,z-axis
"0.5267244","2.328361","9.55047"
"0.41958386","2.1853075","9.604341"
"0.41958386","2.1853075","9.604341"
"0.39025488","2.178125","9.504382"
"0.39025488","2.178125","9.504382"
"0.44651863","2.2631192","9.593566"
"0.44651863","2.2631192","9.593566"
"0.48722005","2.2134395","9.5492735"
"0.48722005","2.2134395","9.5492735"
"0.50397944","2.211644","9.437943"
"0.50397944","2.211644","9.437943"
"0.43993455","2.2284033","9.561244"
"0.43993455","2.2284033","9.561244"
"0.46567222","2.2529438","9.654618"
"0.46567222","2.2529438","9.654618"
"0.4842273","2.248754","9.721058"
"0.4842273","2.248754","9.721058"
"0.5069722","2.2625206","9.531317"
"0.5069722","2.2625206","9.531317"
"0.41060558","2.259528","9.76954"
"0.41060558","2.259528","9.76954"
"0.49200845","2.1517887","9.646837"
"0.49200845","2.1517887","9.646837"
"0.44232875","2.1906946","9.701904"
"0.44232875","2.1906946","9.701904"
"0.41359833","2.1739352","9.584588"
"0.41359833","2.1739352","9.584588"
"0.3184288","2.1218612","9.594165"
"0.3184288","2.1218612","9.594165"
"0.43394905","2.0937295","9.609727"
"0.43394905","2.0937295","9.609727"
"0.073621705","2.3930047","9.69951"
"0.073621705","2.3930047","9.69951"
"-0.25258827","2.2732944","9.479243"
"-0.25258827","2.2732944","9.479243"
"-0.3693056","2.3247697","9.364322"
"-0.3693056","2.3247697","9.364322"
"5.985504E-4","2.147599","9.566033"
"5.985504E-4","2.147599","9.566033"
"0.2100912","2.1877017","9.713875"
"0.2100912","2.1877017","9.713875"
"0.3172317","2.2050598","9.7402115"
"0.3172317","2.2050598","9.7402115"
"0.23942018","2.1691468","9.669582"
"0.23942018","2.1691468","9.669582"
"0.3333926","2.1709423","9.613318"
"0.3333926","2.1709423","9.613318"
"0.320823","2.1763294","9.778519"
"0.320823","2.1763294","9.778519"
"0.18734628","2.2625206","9.578603"
"0.18734628","2.2625206","9.578603"
"0.27832595","2.2523453","9.631275"
"0.27832595","2.2523453","9.631275"
"0.2885013","2.2906525","9.563639"
"0.2885013","2.2906525","9.563639"
"0.28790274","2.2876596","9.54209"
"0.28790274","2.2876596","9.54209"
"0.29029694","2.1883004","9.539098"
"0.29029694","2.1883004","9.539098"
"0.35254622","2.2379801","9.767146"
"0.35254622","2.2379801","9.767146"
"0.30526072","2.2212207","9.648034"
"0.30526072","2.2212207","9.648034"
"0.31603462","2.2397757","9.623494"
"0.31603462","2.2397757","9.623494"
"0.29568392","2.2050598","9.746795"
"0.29568392","2.2050598","9.746795"
"0.26276365","2.1613655","9.844957"
"0.26276365","2.1613655","9.844957"
"0.15263036","2.2661119","9.585785"
"0.15263036","2.2661119","9.585785"
"-0.33758244","2.202067","9.592968"
"-0.33758244","2.202067","9.592968"
"-0.5291186","2.2637177","9.585785"
"-0.5291186","2.2637177","9.585785"
"-0.46387658","2.2080526","9.572019"
"-0.46387658","2.2080526","9.572019"
"-0.3728969","1.9895816","9.615712"
"-0.3728969","1.9895816","9.615712"
"0.038307227","2.059612","9.622296"
"0.038307227","2.059612","9.622296"
"0.16280572","1.946486","9.840169"
"0.16280572","1.946486","9.840169"
"0.3764882","1.9883845","9.61272"
"0.3764882","1.9883845","9.61272"
"0.33518824","2.0009542","9.648633"
"0.33518824","2.0009542","9.648633"
"0.17657238","2.042254","9.487024"
"0.17657238","2.042254","9.487024"
"0.29987377","2.0254946","9.673772"
"0.29987377","2.0254946","9.673772"
"0.30466217","2.0332758","9.725846"
"0.30466217","2.0332758","9.725846"
"0.374094","2.0530279","9.735423"
"0.374094","2.0530279","9.735423"
"0.31364042","2.0644004","9.747394"
"0.31364042","2.0644004","9.747394"
"0.27114335","2.0590134","9.776723"
"0.27114335","2.0590134","9.776723"
"0.26755205","2.0763714","9.655217"
"0.26755205","2.0763714","9.655217"
"0.3549404","2.1230583","9.549872"
"0.3549404","2.1230583","9.549872"
"0.37229836","2.0811598","9.759963"
"0.37229836","2.0811598","9.759963"
"0.33638534","2.12246","9.656414"
"0.33638534","2.12246","9.656414"
"0.41060558","2.2331917","9.617508"
"0.41060558","2.2331917","9.617508"
"0.4261679","2.0638018","9.444528"
"0.4261679","2.0638018","9.444528"
"0.4249708","2.147599","9.750386"
"0.4249708","2.147599","9.750386"
"0.5153519","2.0410569","9.649231"
"0.5153519","2.0410569","9.649231"
