x-axis,y-axis,z-axis
"0.31603462","2.1948843","9.645041"
"0.17657238","2.112883","9.650429"
"0.17657238","2.112883","9.650429"
"0.25558102","2.236783","9.644443"
"0.25558102","2.236783","9.644443"
"0.26036942","2.166154","9.673173"
"0.26036942","2.166154","9.673173"
"0.30825347","2.19249","9.794081"
"0.30825347","2.19249","9.794081"
"0.2136825","2.1511903","9.613917"
"0.2136825","2.1511903","9.613917"
"0.23762453","2.147599","9.53012"
"0.23762453","2.147599","9.53012"
"0.26874915","2.154183","9.527127"
"0.26874915","2.154183","9.527127"
"0.2837129","2.2080526","9.61272"
"0.2837129","2.2080526","9.61272"
"0.25258827","2.1320367","9.476849"
"0.25258827","2.1320367","9.476849"
"0.24899697","2.1859062","9.782109"
"0.24899697","2.1859062","9.782109"
"0.2741361","2.224812","9.688137"
"0.2741361","2.224812","9.688137"
"0.30286652","2.0931308","9.624092"
"0.30286652","2.0931308","9.624092"
"0.25498247","2.2056582","9.837176"
"0.25498247","2.2056582","9.837176"
"0.23582886","2.1625626","9.725247"
"0.23582886","2.1625626","9.725247"
"0.43394905","2.1158757","9.533711"
"0.43394905","2.1158757","9.533711"
"-0.23463176","2.3253684","9.511565"
"-0.23463176","2.3253684","9.511565"
"-0.36032736","2.3463178","9.567828"
"-0.36032736","2.3463178","9.567828"
"-0.6871359","2.2894554","9.629479"
"-0.6871359","2.2894554","9.629479"
"-0.35793316","2.1769278","9.76535"
"-0.35793316","2.1769278","9.76535"
"-0.48003745","2.223615","9.653421"
"-0.48003745","2.223615","9.653421"
"-0.42437226","2.2331917","9.569624"
"-0.42437226","2.2331917","9.569624"
"-0.5315128","2.2822728","9.712079"
"-0.5315128","2.2822728","9.712079"
"-0.57041854","2.183512","9.618107"
"-0.57041854","2.183512","9.618107"
"-0.7284359","2.054225","9.7641535"
"-0.7284359","2.054225","9.7641535"
"-0.7032967","2.1888988","9.650429"
"-0.7032967","2.1888988","9.650429"
"-0.6697779","2.168548","9.630676"
"-0.6697779","2.168548","9.630676"
"-0.7661445","2.1757307","9.7803135"
"-0.7661445","2.1757307","9.7803135"
"-0.6769605","2.0961237","9.803059"
"-0.6769605","2.0961237","9.803059"
"0.272939","1.9195513","9.452309"
"0.272939","1.9195513","9.452309"
"0.25857377","2.0147207","9.67856"
"0.25857377","2.0147207","9.67856"
"0.27473465","2.130241","9.632472"
"0.27473465","2.130241","9.632472"
"0.20410569","2.0177135","9.618107"
"0.20410569","2.0177135","9.618107"
"0.25977087","2.0721815","9.249998"
"0.25977087","2.0721815","9.249998"
"0.24301147","2.1080947","9.562442"
"0.24301147","2.1080947","9.562442"
"0.2777274","2.0721815","9.73662"
"0.2777274","2.0721815","9.73662"
"0.2801216","2.1206641","9.717466"
"0.2801216","2.1206641","9.717466"
"0.22026655","2.1266496","9.606135"
"0.22026655","2.1266496","9.606135"
"0.18435353","2.0446482","9.515156"
"0.18435353","2.0446482","9.515156"
"0.18614918","2.0883424","9.6288805"
"0.18614918","2.0883424","9.6288805"
"0.20410569","2.1033063","9.646238"
"0.20410569","2.1033063","9.646238"
"0.22744916","2.0751743","9.815628"
"0.22744916","2.0751743","9.815628"
"0.17597382","2.0847511","9.745"
"0.17597382","2.0847511","9.745"
"-0.39504328","2.0482395","9.620501"
"-0.39504328","2.0482395","9.620501"
"-0.6536171","2.0727801","9.712079"
"-0.6536171","2.0727801","9.712079"
"-0.66858083","2.0392613","9.601946"
"-0.66858083","2.0392613","9.601946"
"-0.57400984","1.9297266","9.519346"
"-0.57400984","1.9297266","9.519346"
"-0.07182605","1.7872716","9.940725"
"-0.07182605","1.7872716","9.940725"
"0.61650693","2.0165164","9.634866"
"0.61650693","2.0165164","9.634866"
"0.272939","1.9446903","9.701305"
"0.272939","1.9446903","9.701305"
"-0.040102877","1.8866309","9.633071"
"-0.040102877","1.8866309","9.633071"
