x-axis,y-axis,z-axis
"0.17058687","2.260725","9.766547"
"-0.16220717","2.3451207","9.572019"
"-0.16220717","2.3451207","9.572019"
"-0.07182605","2.4468741","9.618107"
"-0.07182605","2.4468741","9.618107"
"-0.362123","2.333748","9.727043"
"-0.362123","2.333748","9.727043"
"-0.11492168","2.3062148","9.5570545"
"-0.11492168","2.3062148","9.5570545"
"-0.050876785","2.295441","9.575011"
"-0.050876785","2.295441","9.575011"
"0.009576807","2.3953989","9.634866"
"0.009576807","2.3953989","9.634866"
"-0.18315643","2.4007857","9.344569"
"-0.18315643","2.4007857","9.344569"
"-0.044891283","2.2852654","9.605537"
"-0.044891283","2.2852654","9.605537"
"0.3453636","2.4199393","9.780912"
"0.3453636","2.4199393","9.780912"
"0.46926352","2.463035","9.533113"
"0.46926352","2.463035","9.533113"
"0.4285621","2.441487","9.533113"
"0.4285621","2.441487","9.533113"
"0.39983168","2.4510639","9.86471"
"0.39983168","2.4510639","9.86471"
"0.17417817","2.4301147","9.631873"
"0.17417817","2.4301147","9.631873"
"0.12389994","2.2709002","9.648633"
"0.12389994","2.2709002","9.648633"
"0.41299978","2.3822308","9.694721"
"0.41299978","2.3822308","9.694721"
"0.29927522","2.415151","9.801862"
"0.29927522","2.415151","9.801862"
"0.18435353","2.3780408","9.694721"
"0.18435353","2.3780408","9.694721"
"0.25318682","2.4025815","9.753379"
"0.25318682","2.4025815","9.753379"
"0.15442601","2.2331917","9.534309"
"0.15442601","2.2331917","9.534309"
"0.17118542","2.2505496","9.685743"
"0.17118542","2.2505496","9.685743"
"0.17477672","2.2732944","9.609727"
"0.17477672","2.2732944","9.609727"
"0.15023616","2.2852654","9.549872"
"0.15023616","2.2852654","9.549872"
"0.11492168","2.2637177","9.654019"
"0.11492168","2.2637177","9.654019"
"0.17836803","2.2176294","9.555259"
"0.17836803","2.2176294","9.555259"
"0.13347675","2.15538","9.566631"
"0.13347675","2.15538","9.566631"
"0.3842694","2.3169887","9.649231"
"0.3842694","2.3169887","9.649231"
"0.39145198","2.3026235","9.509769"
"0.39145198","2.3026235","9.509769"
"0.45250413","2.3427265","9.648034"
"0.45250413","2.3427265","9.648034"
"0.50517654","2.379238","9.554661"
"0.50517654","2.379238","9.554661"
"0.38067806","2.337938","9.624092"
"0.38067806","2.337938","9.624092"
"0.4201824","2.337938","9.570822"
"0.4201824","2.337938","9.570822"
"0.3800795","2.391209","9.743204"
"0.3800795","2.391209","9.743204"
"0.3633201","2.3469162","9.553463"
"0.3633201","2.3469162","9.553463"
"0.50158525","2.3493104","9.496002"
"0.50158525","2.3493104","9.496002"
"0.4201824","2.3080103","9.63726"
"0.4201824","2.3080103","9.63726"
"0.3369839","2.3187842","9.501988"
"0.3369839","2.3187842","9.501988"
"0.29388827","2.3331497","9.48882"
"0.29388827","2.3331497","9.48882"
"0.31423897","2.3211784","9.63726"
"0.31423897","2.3211784","9.63726"
"0.4758476","2.3253684","9.61272"
"0.4758476","2.3253684","9.61272"
"0.52612585","2.3876176","9.408015"
"0.52612585","2.3876176","9.408015"
"0.5602432","2.3971944","9.662399"
"0.5602432","2.3971944","9.662399"
"0.40402153","2.337938","9.663596"
"0.40402153","2.337938","9.663596"
"0.599149","2.3421278","9.690532"
"0.599149","2.3421278","9.690532"
"0.52971715","2.2906525","9.553463"
"0.52971715","2.2906525","9.553463"
"0.47225627","2.296638","9.464878"
"0.47225627","2.296638","9.464878"
"0.4758476","2.3122003","9.523536"
"0.4758476","2.3122003","9.523536"
"0.4902128","2.2888567","9.48882"
"0.4902128","2.2888567","9.48882"
"0.5542577","2.2571337","9.739014"
"0.5542577","2.2571337","9.739014"
"0.557849","2.3020248","9.5492735"
"0.557849","2.3020248","9.5492735"
"0.641646","2.2080526","9.803658"
"0.641646","2.2080526","9.803658"
"0.4141969","2.2691047","9.7324295"
"0.4141969","2.2691047","9.7324295"
"0.5674258","2.4157495","9.397242"
"0.5674258","2.4157495","9.397242"
"0.5410896","2.432509","9.637859"
"0.5410896","2.432509","9.637859"
