x-axis,y-axis,z-axis
"0.4357447","2.2918496","9.560646"
"0.4357447","2.2918496","9.560646"
"0.4201824","2.2655134","9.575011"
"0.4201824","2.2655134","9.575011"
"0.3645172","2.2541409","9.540894"
"0.3645172","2.2541409","9.540894"
"0.35553896","2.2697031","9.589376"
"0.35553896","2.2697031","9.589376"
"0.3716998","2.3666685","9.51336"
"0.3716998","2.3666685","9.51336"
"0.4297592","2.2798786","9.767744"
"0.4297592","2.2798786","9.767744"
"0.49919105","2.231396","9.578004"
"0.49919105","2.231396","9.578004"
"0.39025488","2.2230163","9.617508"
"0.39025488","2.2230163","9.617508"
"0.46926352","2.1972785","9.601347"
"0.46926352","2.1972785","9.601347"
"0.46806642","2.3050177","9.587581"
"0.46806642","2.3050177","9.587581"
"0.2896984","2.3139958","9.625289"
"0.2896984","2.3139958","9.625289"
"0.272939","2.1404164","9.623494"
"0.272939","2.1404164","9.623494"
"0.3345897","2.202067","9.731233"
"0.3345897","2.202067","9.731233"
"0.29508537","2.19668","9.515156"
"0.29508537","2.19668","9.515156"
"0.4225766","2.1936872","9.661202"
"0.4225766","2.1936872","9.661202"
"0.3489549","2.142212","9.615712"
"0.3489549","2.142212","9.615712"
"0.31783026","2.1637597","9.61272"
"0.31783026","2.1637597","9.61272"
"0.4285621","2.156577","9.668385"
"0.4285621","2.156577","9.668385"
"0.35553896","2.1757307","9.510966"
"0.35553896","2.1757307","9.510966"
"0.34237084","2.1374235","9.606135"
"0.34237084","2.1374235","9.606135"
"0.3429694","2.1667526","9.526528"
"0.3429694","2.1667526","9.526528"
"0.2908955","2.1470003","9.493608"
"0.2908955","2.1470003","9.493608"
"0.5919664","2.1996727","9.824008"
"0.5919664","2.1996727","9.824008"
"0.88046765","2.2900538","9.585187"
"0.88046765","2.2900538","9.585187"
"0.93972415","2.2272062","9.771336"
"0.93972415","2.2272062","9.771336"
"0.9636662","2.2505496","9.45171"
"0.9636662","2.2505496","9.45171"
"0.6943185","2.171541","9.605537"
"0.6943185","2.171541","9.605537"
"0.57640404","2.1529858","9.648034"
"0.57640404","2.1529858","9.648034"
"0.3513491","2.0655975","9.6288805"
"0.3513491","2.0655975","9.6288805"
"0.41000703","2.1021092","9.6049385"
"0.41000703","2.1021092","9.6049385"
"0.41240123","2.1404164","9.670779"
"0.41240123","2.1404164","9.670779"
"0.41060558","2.1110873","9.540894"
"0.41060558","2.1110873","9.540894"
"0.47165772","2.0632033","9.789292"
"0.47165772","2.0632033","9.789292"
"0.34237084","2.0626047","9.61272"
"0.34237084","2.0626047","9.61272"
"0.41120413","2.1146786","9.630676"
"0.41120413","2.1146786","9.630676"
"0.35553896","2.087744","9.67856"
"0.35553896","2.087744","9.67856"
"0.6703765","2.088941","9.789292"
"0.6703765","2.088941","9.789292"
"0.7846996","2.1039047","9.56304"
"0.7846996","2.1039047","9.56304"
"0.89423436","2.1631613","9.779117"
"0.89423436","2.1631613","9.779117"
"0.9648633","2.1308396","9.544485"
"0.9648633","2.1308396","9.544485"
"0.8936358","2.2284033","9.636662"
"0.8936358","2.2284033","9.636662"
"0.599149","2.086547","9.515156"
"0.599149","2.086547","9.515156"
"0.36391866","1.9476831","9.762358"
"0.36391866","1.9476831","9.762358"
"0.4177882","1.9195513","9.704897"
"0.4177882","1.9195513","9.704897"
"0.5189432","1.9351135","9.888652"
"0.5189432","1.9351135","9.888652"
"0.50278234","1.8842367","9.651626"
"0.50278234","1.8842367","9.651626"
"0.61171854","1.894412","9.713276"
"0.61171854","1.894412","9.713276"
"0.52073884","1.9303252","9.5809965"
"0.52073884","1.9303252","9.5809965"
"0.56323594","1.8890251","9.825205"
"0.56323594","1.8890251","9.825205"
"0.48482585","1.9434932","9.724648"
"0.48482585","1.9434932","9.724648"
"0.42676646","1.9213469","9.780912"
"0.42676646","1.9213469","9.780912"
"0.3250129","1.9542671","9.603143"
"0.3250129","1.9542671","9.603143"
"0.33159694","2.0296845","9.691729"
"0.33159694","2.0296845","9.691729"
"0.31483752","2.066196","9.697714"
"0.31483752","2.066196","9.697714"
"0.3716998","2.107496","9.555858"
"0.3716998","2.107496","9.555858"
"0.3561375","2.1493945","9.6288805"
"0.3561375","2.1493945","9.6288805"
"0.3274071","2.1865046","9.555259"
"0.3274071","2.1865046","9.555259"
"0.2896984","2.0937295","9.966463"
"0.2896984","2.0937295","9.966463"
