x-axis,y-axis,z-axis
"0.21188685","2.497751","9.539697"
"0.25198972","2.4570496","9.548077"
"0.25198972","2.4570496","9.548077"
"0.18195933","2.4785974","9.524733"
"0.18195933","2.4785974","9.524733"
"0.2112883","2.5073278","9.673772"
"0.2112883","2.5073278","9.673772"
"0.13587095","2.5659857","9.627085"
"0.13587095","2.5659857","9.627085"
"0.18555063","2.5342624","9.504382"
"0.18555063","2.5342624","9.504382"
"0.18375498","2.510919","9.46009"
"0.18375498","2.510919","9.46009"
"0.1328782","2.4821887","9.554062"
"0.1328782","2.4821887","9.554062"
"0.1352724","2.5312698","9.654019"
"0.1352724","2.5312698","9.654019"
"0.16220717","2.469619","9.598354"
"0.16220717","2.469619","9.598354"
"0.11671733","2.5133133","9.648633"
"0.11671733","2.5133133","9.648633"
"0.15861586","2.4809916","9.499594"
"0.15861586","2.4809916","9.499594"
"0.12928689","2.4827871","9.405023"
"0.12928689","2.4827871","9.405023"
"0.013766659","2.5061307","9.607333"
"0.013766659","2.5061307","9.607333"
"0.06344634","2.4516625","9.491813"
"0.06344634","2.4516625","9.491813"
"0.060453594","2.4732103","9.547478"
"0.060453594","2.4732103","9.547478"
"0.12150574","2.4289176","9.467272"
"0.12150574","2.4289176","9.467272"
"-0.0047884034","2.5121162","9.215282"
"-0.0047884034","2.5121162","9.215282"
"0.5542577","2.4821887","9.494206"
"0.5542577","2.4821887","9.494206"
"0.51595044","2.5725696","9.46847"
"0.51595044","2.5725696","9.46847"
"0.7469909","2.5474305","9.655815"
"0.7469909","2.5474305","9.655815"
"0.5177461","2.3469162","9.471462"
"0.5177461","2.3469162","9.471462"
"0.21787235","2.4109612","9.546879"
"0.21787235","2.4109612","9.546879"
"0.27473465","2.5031378","9.531916"
"0.27473465","2.5031378","9.531916"
"0.09995792","2.429516","9.560646"
"0.09995792","2.429516","9.560646"
"0.075417355","2.4420857","9.675568"
"0.075417355","2.4420857","9.675568"
"0.16101007","2.416348","9.4696665"
"0.16101007","2.416348","9.4696665"
"0.3537433","2.4420857","9.492412"
"0.3537433","2.4420857","9.492412"
"0.60333884","2.4522612","9.456498"
"0.60333884","2.4522612","9.456498"
"0.7679402","2.4061728","9.367912"
"0.7679402","2.4061728","9.367912"
"0.74878657","2.4774003","9.5732155"
"0.74878657","2.4774003","9.5732155"
"0.46447513","2.4193408","9.48882"
"0.46447513","2.4193408","9.48882"
"0.16280572","2.3762453","9.461287"
"0.16280572","2.3762453","9.461287"
"0.1400608","2.3942018","9.656414"
"0.1400608","2.3942018","9.656414"
"0.05327099","2.4229321","9.144653"
"0.05327099","2.4229321","9.144653"
"0.12330139","2.3995886","9.57561"
"0.12330139","2.3995886","9.57561"
"0.04249708","2.332551","9.5809965"
"0.04249708","2.332551","9.5809965"
"0.1592144","2.3708582","9.572617"
"0.1592144","2.3708582","9.572617"
"0.0676362","2.3481133","9.606734"
"0.0676362","2.3481133","9.606734"
"0.13108255","2.3762453","9.640253"
"0.13108255","2.3762453","9.640253"
"0.108337626","2.4133554","9.642049"
"0.108337626","2.4133554","9.642049"
"0.07062895","2.381632","9.465476"
"0.07062895","2.381632","9.465476"
"0.01616086","2.331354","9.706094"
"0.01616086","2.331354","9.706094"
"0.19931729","2.4450784","9.667188"
"0.19931729","2.4450784","9.667188"
"0.7038953","2.5181017","9.523536"
"0.7038953","2.5181017","9.523536"
"0.7278373","2.6312277","9.462483"
"0.7278373","2.6312277","9.462483"
"0.64583594","2.484583","9.419388"
"0.64583594","2.484583","9.419388"
"0.25079262","2.3834279","9.698313"
"0.25079262","2.3834279","9.698313"
"-0.011372458","2.4744074","9.387066"
"-0.011372458","2.4744074","9.387066"
"-0.0047884034","2.3995886","9.568427"
"-0.0047884034","2.3995886","9.568427"
"0.023942016","2.3660698","9.547478"
"0.023942016","2.3660698","9.547478"
"0.062249243","2.3612814","9.542689"
"0.062249243","2.3612814","9.542689"
"0.1412579","2.3116016","9.639654"
"0.1412579","2.3116016","9.639654"
"0.12868834","2.15538","9.467272"
"0.12868834","2.15538","9.467272"
"0.23104046","2.1625626","9.601347"
"0.23104046","2.1625626","9.601347"
"0.30406362","2.1380222","9.551069"
"0.30406362","2.1380222","9.551069"
